Name,Price,ProductDetails,Link
Lenovo ThinkBook 15 G2 ITL Core i5-1135 16GB 256GB SSD 15.6 Inch Windows 11 Pro Laptop,£569.97,"Intel Core i5 1135G7 Processor, Iris Xe Graphics Graphics card, 15.6 Inch Full HD Screen, 256GB SSD, 1 year warranty",https://www.laptopsdirect.co.uk/lenovo-thinkbook-15-g2-itl-core-i5-1135-16gb-256gb-ssd-15.6-inch-windows-11-20ve00rpuk-16gb/version.asp
HP ProBook 455 G9 AMD Ryzen 5 16GB RAM 512GB SSD 15.6 Inch Windows 11 Pro Laptop,£729.97,"AMD Ryzen 5 5625U Processor, 15.6 Inch Full HD Screen, 16GB RAM, 512GB SSD, 1 year warranty",https://www.laptopsdirect.co.uk/hp-probook-455-g9-amd-ryzen-5-16gb-ram-512gb-ssd-15.6-inch-windows-11-pro-l-7j1c5aa/version.asp
Dell Vostro 3510 Intel Core i5-1135G7 16GB 256GB SSD 15.6 Inch Windows 10 Pro Laptop,£539.97,"Intel Core i5 1135G7 Processor, Iris Xe Graphics Graphics card, 15.6 Inch Full HD Screen, 16GB RAM, 256GB SSD",https://www.laptopsdirect.co.uk/dell-vostro-3510-laptop-core-i5-8gb-256gb-ssd-15.6-inch-windows-10-pro-hpwyt-16gb/version.asp
HP 250 G9 Core i5-1235U 8GB 256 SSD 15.6 Inch Windows 11 Pro Laptop,£547.97,"Intel Core i5 1235U Processor, Iris Xe Graphics Graphics card, 15.6 Inch Full HD Screen, 8GB RAM, 256GB SSD",https://www.laptopsdirect.co.uk/hp-250-g9-core-i5-8gb-256-adl-pro-6s6s8ea/version.asp
Hewlett Packard HP 250 G9 Laptop Intel Core i5 8GB RAM 512GB SSD 15.6 Inch FHD Windows 11 Home Laptop,£439.97,"Intel Core i5 1235U Processor, Iris Xe Graphics Graphics card, 15.6 Inch Full HD Screen, 8GB RAM, 512GB SSD",https://www.laptopsdirect.co.uk/hp-250-g9-laptop-intel-core-i5-8gb-512-ssd-fhd-windows-11-home-6q8c5es/version.asp
Lenovo V15 G3 IAP 82TT Intel Core i3-1215U 8GB 256GB SSD 15.6 Inch Windows 11 Home Laptop,£358.97,"Intel Core i3 1215U Processor, UHD Graphics Graphics card, 15.6 Inch Full HD Screen, 8GB RAM, 256GB SSD",https://www.laptopsdirect.co.uk/lenovo-v15-g3-iap-82tt-intel-core-i3-1215u-8gb-256gb-ssd-15.6-inch-windows-82tt000duk/version.asp
Lenovo V15 G3 IAP 82TT Intel Core i5-1235U 8GB 256GB SSD 15.6 Inch Windows 11 Home Laptop,£417.97,"Intel Core i5 1235U Processor, Iris Xe Graphics Graphics card, 15.6 Inch Full HD Screen, 8GB RAM, 256GB SSD",https://www.laptopsdirect.co.uk/-82tt000euk/version.asp
Lenovo ThinkBook 15 G4 IAP 15.6 inch Core i7-1255U 16GB RAM 512GB SSD Windows 11 Pro Laptop,£829.97,"Intel Core i7 i7-1255U Processor, Intel Iris Xe Graphics Graphics card, 15.6 Inch Full HD Screen, 16GB RAM, 512GB SSD",https://www.laptopsdirect.co.uk/lenovo-thinkbook-15-g4-iap-15.6-inch-core-i7-1255u-16gb-ram-512gb-ssd-21dj000duk/version.asp
Refurbished HP 14s-fq0059na AMD Athlon 3020e 4GB 64GB 14 Inch Windows 11 Laptop,£139.97,"AMD Athlon 3020E Processor, 14 Inch 1366 x 768 Screen, 4GB RAM, 64GB SSD, 3 Month Warranty",https://www.laptopsdirect.co.uk/refurbished-hp-14s-fq0059na-amd-3020e-4gb-64gb-14-inch-windows-11-laptop-a1-6t9q8ea/version.asp
HP 250 G9 Laptop Intel Core i5-1235U 8GB 256GB  SSD 15.6 Inch FHD Windows 11 Home Laptop,£429.97,"Intel Core i5 1235U Processor, Iris Xe Graphics Graphics card, 15.6 Inch Full HD Screen, 8GB RAM, 256GB SSD",https://www.laptopsdirect.co.uk/hp-250-g9-laptop-intel-core-i5-8gb-256-ssd-fhd-windows-11-home-6q8c4es/version.asp
Lenovo ThinkPad E15 Core i5-1235U 8GB 256GB SSD 15.6 Inch Windows 11 Pro Laptop,£724.97,"Intel Core i5 1235U Processor, Iris Xe Graphics Graphics card, 15.6 Inch Full HD Screen, 8GB RAM, 256GB SSD",https://www.laptopsdirect.co.uk/lenovo-thinkpad-e15-intel-core-i5-1235u-8gb-256gbssd-15.6-inch-fhd-windows-21e60058uk/version.asp
Lenovo ThinkBook 14 G4 Core i7-1255U 16GB 512GB SSD 14 Inch Windows 11 Pro Laptop,£829.97,"Intel Core i7 1255U Processor, Iris Xe Graphics Graphics card, 14 Inch Full HD Screen, 16GB RAM, 512GB SSD",https://www.laptopsdirect.co.uk/lenovo-thinkbook-14-g4-core-i7-1255u-16gb-512gb-ssd-14-inch-windows-11-pro-21dh000nuk/version.asp
Lenovo V14 G3 Intel Core i7 8GB RAM 512GB SSD 14 Inch Windows 11 Pro Laptop,£574.97,"Intel Core i7 1255U Processor, Iris Xe Graphics Graphics card, 14 Inch Full HD Screen, 8GB RAM, 512GB SSD",https://www.laptopsdirect.co.uk/lenovo-v14-g3-intel-core-i7-8gb-ram-512gb-ssd-14-inch-windows-11-pro-laptop-82ts000kuk/version.asp
HP ProBook 450 G9 Intel Core i5 16GB RAM 256GB SSD 15.6 Inch Windows 10 Pro Laptop,£699.97,"Intel Core i5 1235U Processor, Iris Xe Graphics Graphics card, 15.6 Inch Full HD Screen, 16GB RAM, 256GB SSD",https://www.laptopsdirect.co.uk/hp-probook-450-g9-core-i5-1235u-16gb-256gb-ssd-15.6-inch-windows-10-pro-lap-5y4a4ea-16gb/version.asp
Lenovo V15 G2 ITL Laptop Core i5 8GB 256GB SSD 15.6 Inch Windows 11 Pro ,£469.97,"Intel Core i5 1135G7 Processor, Iris Xe Graphics Graphics card, 15.6 Inch 1080 x 1920 Screen, 8GB RAM, 256GB SSD",https://www.laptopsdirect.co.uk/lenovo-v15-gen-2-core-i5-1135g7-8gb-256gb-ssd-15.6-inch-windows-11-pro-lapt-82kb00n2uk/version.asp
Acer Predator Helios 300 Intel Core i7 16GB 1TB RTX 3060 165Hz FHD 15.6 Inch Windows 11 Gaming Laptop,£1019.97,"Intel Core i7 12700H Processor, GeForce RTX 3060 6GB Graphics card, 15.6 Inch Full HD Screen, 16GB RAM, 1TB SSD",https://www.laptopsdirect.co.uk/acer-300-core-i7-12700h-16gb-1tb-ssd-geforce-rtx-3060-15.6-inch-windows-11-nh.qgpek.001/version.asp
Refurbished HP EliteBook 850 G5 Ultrabook Core i7 8th gen 32GB 512GB 15.6 Inch Windows 11 Professional Laptop,£589.97,"Intel Core i7 Processor, 15.6 Inch 1366 x 768 Screen, 32GB RAM, 512GB SSD, 1 year warranty",https://www.laptopsdirect.co.uk/refurbished-hp-elitebook-850-g5-core-i7-8650u-32gb-512gb-15.6-inch-windows-t1-850g5i732gb512gbw10p/version.asp
"Medion Erazer Deputy P25 15.6"" FHD 144Hz AMD Ryzen 5-5600H 16 GB 512 GB  RTX 3060 Windows 11 Home Gaming Laptop",£699.97,"AMD Ryzen 5 5600H Processor, GeForce RTX 3060 6GB Graphics card, 15.6 Inch Full HD 144Hz Screen, 16GB RAM, 512GB SSD",https://www.laptopsdirect.co.uk/medion-deputy-p25-ryzen-5-5600h-16gb-512gb-ssd-geforce-rtx-3060-15.6-inch-30033307/version.asp
